"Id","IdDec","Name","Base","Offset","File","Line"
"0x5342","21314","CS_FRIENDGROUPMAKE_REQ","CS_MAP","0x00C2","CSProtocol.h","1661"
"0x5343","21315","CS_FRIENDGROUPMAKE_ACK","CS_MAP","0x00C3","CSProtocol.h","1664"
"0x5344","21316","CS_FRIENDGROUPDELETE_REQ","CS_MAP","0x00C4","CSProtocol.h","1668"
"0x5345","21317","CS_FRIENDGROUPDELETE_ACK","CS_MAP","0x00C5","CSProtocol.h","1670"
"0x5346","21318","CS_FRIENDGROUPCHANGE_REQ","CS_MAP","0x00C6","CSProtocol.h","1673"
"0x5347","21319","CS_FRIENDGROUPCHANGE_ACK","CS_MAP","0x00C7","CSProtocol.h","1676"
"0x5348","21320","CS_FRIENDGROUPNAME_REQ","CS_MAP","0x00C8","CSProtocol.h","1680"
"0x5349","21321","CS_FRIENDGROUPNAME_ACK","CS_MAP","0x00C9","CSProtocol.h","1683"
"0x534A","21322","CS_TMSSEND_REQ","CS_MAP","0x00CA","CSProtocol.h","1687"
"0x534B","21323","CS_TMSRECV_ACK","CS_MAP","0x00CB","CSProtocol.h","1690"
"0x534C","21324","CS_TMSINVITE_REQ","CS_MAP","0x00CC","CSProtocol.h","1694"
"0x534D","21325","CS_TMSINVITE_ACK","CS_MAP","0x00CD","CSProtocol.h","1701"
"0x5350","21328","CS_TMSOUT_REQ","CS_MAP","0x00D0","CSProtocol.h","1710"
"0x5351","21329","CS_TMSOUT_ACK","CS_MAP","0x00D1","CSProtocol.h","1712"
"0x5352","21330","CS_CASTLEENABLE_ACK","CS_MAP","0x00D2","CSProtocol.h","1715"
"0x5353","21331","CS_CASTLEAPPLY_REQ","CS_MAP","0x00D3","CSProtocol.h","1718"
"0x5354","21332","CS_CASTLEAPPLY_ACK","CS_MAP","0x00D4","CSProtocol.h","1721"
"0x5355","21333","CS_KICKOUT_REQ","CS_MAP","0x00D5","CSProtocol.h","1726"
"0x5356","21334","CS_ANNOUNCEMENTCHAT_ACK","CS_MAP","0x00D6","CSProtocol.h","1728"
"0x5357","21335","CS_TELEPORT_REQ","CS_MAP","0x00D7","CSProtocol.h","1730"
"0x5358","21336","CS_TELEPORT_ACK","CS_MAP","0x00D8","CSProtocol.h","1733"
"0x5359","21337","CS_ADDRECALLMON_ACK","CS_MAP","0x00D9","CSProtocol.h","1742"
"0x535A","21338","CS_DELRECALLMON_ACK","CS_MAP","0x00DA","CSProtocol.h","1798"
"0x535B","21339","CS_CASTLEOCCUPY_ACK","CS_MAP","0x00DB","CSProtocol.h","1802"
"0x535C","21340","CS_MONSETSKILL_ACK","CS_MAP","0x00DC","CSProtocol.h","1806"
"0x535D","21341","CS_NPCTALK_REQ","CS_MAP","0x00DD","CSProtocol.h","1810"
"0x535E","21342","CS_NPCTALK_ACK","CS_MAP","0x00DE","CSProtocol.h","1812"
"0x535F","21343","CS_CHANGECOLOR_ACK","CS_MAP","0x00DF","CSProtocol.h","1815"
"0x5360","21344","CS_CHAPTERMSG_ACK","CS_MAP","0x00E0","CSProtocol.h","1820"
"0x5361","21345","CS_DELRECALLMON_REQ","CS_MAP","0x00E1","CSProtocol.h","1822"
